BioWare 3.0 Export
Device:	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA	KistlerMobileFP 9286AA
Samples (#):	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000	12000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	0	0	0	0	0	0	0	0	0	0	0	0	0
Contact period end (sample #):	11999	11999	11999	11999	11999	11999	11999	11999	11999	11999	11999	11999	11999
Contact period start time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contact period end time (s):	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000	59.995000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877	-0.040877
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	Mx	My	Mz	Tz	Ax	Ay	Cofy	Cofxy	Device:
	N	N	N	N	N m	N m	N m	N m	m	m	µ	µ	µ
0.000000	0.728179	2.485594	661.422014	661.427085	12.232934	-24.412773	-0.182467	-0.260741	0.036910	0.018495	0.001101	0.003758	0.003916
0.005000	0.696334	2.430669	659.341369	659.346217	11.950862	-24.475000	-0.175109	-0.252715	0.037120	0.018125	0.001056	0.003687	0.003835
0.010000	0.664477	2.383654	660.553311	660.557946	12.188882	-24.445163	-0.159254	-0.235205	0.037007	0.018453	0.001006	0.003609	0.003746
0.015000	0.775868	2.407250	662.806766	662.811591	12.424120	-24.411428	-0.159522	-0.233639	0.036830	0.018745	0.001171	0.003632	0.003816
0.020000	0.744057	2.344371	660.898831	660.903408	12.189719	-24.443429	-0.172158	-0.245141	0.036985	0.018444	0.001126	0.003547	0.003722
0.025000	0.815664	2.305176	659.686889	659.691420	12.143686	-24.411943	-0.173007	-0.243295	0.037005	0.018408	0.001236	0.003494	0.003707
0.030000	0.759979	2.226699	661.594725	661.598909	12.286125	-24.381849	-0.177968	-0.245915	0.036853	0.018570	0.001149	0.003366	0.003556
0.035000	0.879343	2.234520	659.859795	659.864165	12.192790	-24.440801	-0.190298	-0.256815	0.037039	0.018478	0.001333	0.003386	0.003639
0.040000	0.760002	2.164041	660.032604	660.036589	12.146818	-24.473668	-0.181260	-0.247514	0.037079	0.018403	0.001151	0.003279	0.003475
0.045000	0.927066	2.250251	662.634054	662.638524	12.189989	-24.498775	-0.183179	-0.249320	0.036972	0.018396	0.001399	0.003396	0.003673
0.050000	0.831586	2.250340	663.670712	663.675048	12.475068	-24.440495	-0.173295	-0.240535	0.036826	0.018797	0.001253	0.003391	0.003615
0.055000	0.831564	2.289534	662.979477	662.983951	12.284116	-24.440427	-0.165897	-0.234891	0.036865	0.018529	0.001254	0.003453	0.003674
0.060000	0.704250	2.328861	664.193602	664.198058	12.234447	-24.412239	-0.150238	-0.222863	0.036755	0.018420	0.001060	0.003506	0.003663
0.065000	0.664455	2.360323	662.460952	662.465490	12.330054	-24.353361	-0.138161	-0.212564	0.036762	0.018612	0.001003	0.003563	0.003701
0.070000	0.568953	2.391696	664.191223	664.195773	12.328710	-24.415632	-0.125000	-0.202358	0.036760	0.018562	0.000857	0.003601	0.003701
0.075000	0.529169	2.423158	662.633565	662.638207	12.471185	-24.265647	-0.117299	-0.196076	0.036620	0.018821	0.000799	0.003657	0.003743
0.080000	0.473451	2.438801	663.154370	663.159024	12.422718	-24.296733	-0.109087	-0.189571	0.036638	0.018733	0.000714	0.003678	0.003746
0.085000	0.497301	2.509501	662.463037	662.467977	12.516181	-24.175225	-0.095630	-0.177813	0.036493	0.018893	0.000751	0.003788	0.003862
0.090000	0.529102	2.572248	662.981268	662.986469	12.372179	-24.204767	-0.086854	-0.170890	0.036509	0.018661	0.000798	0.003880	0.003961
0.095000	0.560902	2.603621	662.290032	662.295387	12.181399	-24.203998	-0.078093	-0.162928	0.036546	0.018393	0.000847	0.003931	0.004021
0.100000	0.648421	2.634950	662.808361	662.813916	12.133161	-24.232332	-0.083028	-0.167492	0.036560	0.018306	0.000978	0.003975	0.004094
0.105000	0.680255	2.611575	662.115041	662.120541	12.514536	-24.171582	-0.077813	-0.160295	0.036507	0.018901	0.001027	0.003944	0.004076
0.110000	0.751873	2.595755	659.861782	659.867316	12.279179	-24.261774	-0.092634	-0.174083	0.036768	0.018609	0.001139	0.003934	0.004095
0.115000	0.823491	2.572159	659.513982	659.519512	12.280353	-24.321063	-0.103340	-0.182861	0.036877	0.018620	0.001249	0.003900	0.004095
0.120000	0.998550	2.603576	662.113152	662.119024	12.515446	-24.346427	-0.113740	-0.190601	0.036771	0.018902	0.001508	0.003932	0.004212
0.125000	1.022434	2.579980	660.899027	660.904854	12.374679	-24.437339	-0.124438	-0.200691	0.036976	0.018724	0.001547	0.003904	0.004199
0.130000	1.133824	2.626995	660.898831	660.905025	12.183501	-24.434854	-0.131557	-0.207781	0.036972	0.018435	0.001716	0.003975	0.004329
0.135000	1.125874	2.595711	662.631579	662.637619	12.563142	-24.373902	-0.128268	-0.202402	0.036783	0.018959	0.001699	0.003917	0.004270
0.140000	1.181559	2.619174	660.896845	660.903091	12.659605	-24.434289	-0.130197	-0.204399	0.036971	0.019155	0.001788	0.003963	0.004348
0.145000	1.062229	2.564160	659.511897	659.517737	12.281209	-24.437176	-0.139252	-0.214483	0.037053	0.018622	0.001611	0.003888	0.004208
0.150000	1.117947	2.540697	659.857515	659.863353	12.376770	-24.435985	-0.146096	-0.219215	0.037032	0.018757	0.001694	0.003850	0.004207
0.155000	1.014517	2.517145	661.762876	661.768441	12.708665	-24.346891	-0.145272	-0.218397	0.036791	0.019204	0.001533	0.003804	0.004101
0.160000	0.926976	2.509368	660.380502	660.385921	12.233638	-24.409146	-0.130202	-0.205782	0.036962	0.018525	0.001404	0.003800	0.004051
0.165000	0.712156	2.493770	662.981561	662.986634	12.469032	-24.261240	-0.118115	-0.195978	0.036594	0.018808	0.001074	0.003761	0.003912
0.170000	0.576903	2.470262	662.460757	662.465613	12.517671	-24.234356	-0.114540	-0.194007	0.036582	0.018896	0.000871	0.003729	0.003829
0.175000	0.425751	2.423158	662.112761	662.117332	12.519308	-24.238063	-0.119467	-0.200122	0.036607	0.018908	0.000643	0.003660	0.003716
0.180000	0.354132	2.384008	658.303928	658.308340	12.236862	-24.119630	-0.108791	-0.189556	0.036639	0.018588	0.000538	0.003621	0.003661
0.185000	0.346182	2.470218	661.423610	661.428313	12.327502	-24.118380	-0.115053	-0.198675	0.036464	0.018638	0.000523	0.003735	0.003771
0.190000	0.370044	2.509412	662.983450	662.988303	12.467953	-24.086918	-0.114223	-0.198433	0.036331	0.018806	0.000558	0.003785	0.003826
0.195000	0.330282	2.509412	661.944219	661.949058	12.468553	-24.027657	-0.120778	-0.205645	0.036299	0.018836	0.000499	0.003791	0.003824
0.200000	0.385989	2.540786	661.771508	661.776498	12.420367	-24.056656	-0.127337	-0.212455	0.036352	0.018768	0.000583	0.003839	0.003883
0.205000	0.465568	2.611442	662.292117	662.297429	12.370636	-24.024282	-0.131951	-0.217984	0.036274	0.018679	0.000703	0.003943	0.004005
0.210000	0.569009	2.705428	662.465121	662.470890	12.511190	-24.052282	-0.146723	-0.234204	0.036307	0.018886	0.000859	0.004084	0.004173
0.215000	0.712234	2.830921	663.156455	663.162880	12.413411	-24.170114	-0.155440	-0.245287	0.036447	0.018719	0.001074	0.004269	0.004402
0.220000	0.712234	2.823056	660.207204	660.213624	12.559260	-24.141748	-0.156817	-0.246498	0.036567	0.019023	0.001079	0.004276	0.004410
0.225000	0.887282	2.846564	662.633663	662.640372	12.747032	-24.197337	-0.166963	-0.253842	0.036517	0.019237	0.001339	0.004296	0.004500
0.230000	0.887293	2.830788	663.847691	663.854319	12.793593	-24.105882	-0.176837	-0.262529	0.036312	0.019272	0.001337	0.004264	0.004469
0.235000	0.982773	2.799415	662.808850	662.815491	12.604902	-24.225062	-0.181246	-0.264873	0.036549	0.019017	0.001483	0.004224	0.004476
0.240000	0.879332	2.705295	661.769521	661.775635	12.512501	-24.167185	-0.174709	-0.256878	0.036519	0.018908	0.001329	0.004088	0.004299
0.245000	0.895254	2.673922	662.463135	662.469136	12.607636	-24.166487	-0.179104	-0.259610	0.036480	0.019031	0.001351	0.004036	0.004257
0.250000	0.664522	2.626774	662.117419	662.122963	12.418556	-24.171511	-0.178009	-0.261439	0.036506	0.018756	0.001004	0.003967	0.004092
0.255000	0.664489	2.564116	661.596516	661.601819	12.372985	-24.141635	-0.159423	-0.240560	0.036490	0.018702	0.001004	0.003876	0.004004
0.260000	0.576959	2.525055	664.545473	664.550521	12.703313	-23.930080	-0.143254	-0.223151	0.036010	0.019116	0.000868	0.003800	0.003898
0.265000	0.553087	2.532920	662.292411	662.297485	12.657579	-24.022408	-0.139685	-0.220988	0.036272	0.019112	0.000835	0.003824	0.003915
0.270000	0.425751	2.509324	660.041041	660.045948	12.421659	-23.935128	-0.126287	-0.209271	0.036263	0.018820	0.000645	0.003802	0.003856
0.275000	0.568931	2.540741	660.732276	660.737406	12.420968	-23.992496	-0.114803	-0.196367	0.036312	0.018799	0.000861	0.003845	0.003941
0.280000	0.537142	2.580024	661.771508	661.776755	12.419504	-24.053331	-0.123787	-0.207482	0.036347	0.018767	0.000812	0.003899	0.003982
0.285000	0.608748	2.580024	659.688680	659.694006	12.231922	-24.174181	-0.125988	-0.209245	0.036645	0.018542	0.000923	0.003911	0.004018
0.290000	0.672428	2.524966	661.077894	661.083058	12.516360	-23.990253	-0.148763	-0.227661	0.036290	0.018933	0.001017	0.003819	0.003953
0.295000	0.775868	2.556295	661.944415	661.949805	12.657665	-24.017888	-0.158076	-0.235992	0.036284	0.019122	0.001172	0.003862	0.004036
0.300000	0.823625	2.571937	662.117321	662.122829	12.514780	-24.107545	-0.169574	-0.247650	0.036410	0.018901	0.001244	0.003884	0.004079
0.305000	0.903216	2.642416	661.253179	661.259075	12.275591	-24.075467	-0.189544	-0.268984	0.036409	0.018564	0.001366	0.003996	0.004223
0.310000	0.927111	2.603222	660.212059	660.217842	12.467878	-24.136205	-0.199134	-0.276796	0.036558	0.018885	0.001404	0.003943	0.004186
0.315000	0.950995	2.579581	661.251192	661.256908	12.562816	-24.135349	-0.212577	-0.288663	0.036500	0.018999	0.001438	0.003901	0.004158
0.320000	0.990801	2.548163	660.905379	660.911034	12.468408	-24.073956	-0.226285	-0.300411	0.036426	0.018866	0.001499	0.003856	0.004137
0.325000	0.998762	2.556029	662.808850	662.814531	12.610256	-24.224710	-0.227097	-0.301515	0.036549	0.019025	0.001507	0.003856	0.004140
0.330000	0.990779	2.493371	660.903294	660.908740	12.660384	-24.134873	-0.210698	-0.282771	0.036518	0.019156	0.001499	0.003773	0.004060
0.335000	0.863432	2.446311	660.214241	660.219338	12.375631	-24.076707	-0.188818	-0.261845	0.036468	0.018745	0.001308	0.003705	0.003929
0.340000	0.775880	2.391563	658.997738	659.002534	12.521284	-24.110038	-0.163905	-0.236661	0.036586	0.019000	0.001177	0.003629	0.003815
0.345000	0.624682	2.352458	659.522810	659.527301	12.187552	-24.021408	-0.141718	-0.215856	0.036422	0.018479	0.000947	0.003567	0.003691
0.350000	0.720139	2.368277	662.813117	662.817740	12.327917	-24.109024	-0.129118	-0.201867	0.036374	0.018599	0.001086	0.003573	0.003735
0.355000	0.616654	2.336860	661.080272	661.084690	12.424853	-23.991064	-0.107792	-0.181009	0.036291	0.018795	0.000933	0.003535	0.003656
0.360000	0.664377	2.376232	659.695521	659.700135	12.234524	-23.990310	-0.093798	-0.167890	0.036366	0.018546	0.001007	0.003602	0.003740
0.365000	0.624559	2.337082	660.213947	660.218379	12.472998	-23.961013	-0.074378	-0.147398	0.036293	0.018892	0.000946	0.003540	0.003664
0.370000	0.727989	2.415559	661.425890	661.430701	12.328077	-24.049098	-0.073802	-0.148061	0.036359	0.018639	0.001101	0.003652	0.003814
